text,amount,category
Auto Kelly,0.0,Auto servis
Auto servis,0.0,Auto servis
Auto umývareň,0.0,Auto servis
Autodiely,0.0,Auto servis
AUTODOC,0.0,Auto servis
Autokelly,0.0,Auto servis
AUTOKELLY SK,0.0,Auto servis
Autoservis,0.0,Auto servis
autoumyvaren,0.0,Auto servis
Autoumyváreň,0.0,Auto servis
autoumývareň,0.0,Auto servis
BestDrive,0.0,Auto servis
BESTDRIVE SK,0.0,Auto servis
EK kontrola,0.0,Auto servis
ELIT,0.0,Auto servis
ELIT SK,0.0,Auto servis
Emisná kontrola,0.0,Auto servis
Euromaster,0.0,Auto servis
EUROMASTER SK,0.0,Auto servis
Inter Cars,0.0,Auto servis
INTER CARS SK,0.0,Auto servis
LKQ,0.0,Auto servis
Mikona,0.0,Auto servis
MIKONA SK,0.0,Auto servis
Motointegrator,0.0,Auto servis
OMV MyWash,0.0,Auto servis
PNEUBOX,0.0,Auto servis
Pneucom,0.0,Auto servis
Pneuservis,0.0,Auto servis
Shell Car Wash,0.0,Auto servis
STK,0.0,Auto servis
Technická kontrola,0.0,Auto servis
Veľký servis,0.0,Auto servis
Zimné pneu,0.0,Auto servis
365 Bank,0.0,Banky a financie
365.bank,0.0,Banky a financie
ATM,0.0,Banky a financie
Banka,0.0,Banky a financie
Bankomat,0.0,Banky a financie
bankovy poplatok,0.0,Banky a financie
Bankový poplatok,0.0,Banky a financie
CSOB,0.0,Banky a financie
Erste,0.0,Banky a financie
Fio banka,0.0,Banky a financie
Fio Banka SK,0.0,Banky a financie
hypoteka,0.0,Banky a financie
hypotéka,0.0,Banky a financie
Kartový poplatok,0.0,Banky a financie
mBank,0.0,Banky a financie
N26,0.0,Banky a financie
Platba kartou,0.0,Banky a financie
Poštová banka,0.0,Banky a financie
Poštová banka SK,0.0,Banky a financie
Prima banka,0.0,Banky a financie
Prima Banka Slovensko,0.0,Banky a financie
Raiffeisen,0.0,Banky a financie
Revolut,0.0,Banky a financie
Revolut Payments,0.0,Banky a financie
Slovenská sporiteľňa,0.0,Banky a financie
SLSP,0.0,Banky a financie
splatka,0.0,Banky a financie
splátka,0.0,Banky a financie
Sporiteľňa,0.0,Banky a financie
