date,description,amount
2026-09-01,Pyaterochka Moscow,1250.50
2026-09-01,Yandex Taxi,340.00
2026-09-02,Spotify Subscription,299.00
2026-09-02,Magnit Supermarket,890.30
2026-09-03,Cafe Central,1450.00
2026-09-04,Uber Trip,520.00
2026-09-05,Pyaterochka Moscow,2100.00
2026-09-05,Netflix Subscription,599.00
2026-09-06,Gas Station Lukoil,3000.00
2026-09-07,Restaurant Bar Georgia,2300.00
2026-09-08,Magnit Supermarket,670.20
2026-09-09,Yandex Taxi,280.00
2026-09-10,Ozon Purchase,4500.00
2026-09-10,Pyaterochka Moscow,1120.00
2026-09-11,Pharmacy Apteka,890.00
2026-09-12,Cinema Tickets,1200.00
2026-09-12,Uber Trip,410.00
2026-09-13,Magnit Supermarket,1560.00
2026-09-14,Gym Membership,3500.00
2026-09-15,Cafe Central,780.00
2026-09-15,Yandex Taxi,300.00
2026-09-16,Pyaterochka Moscow,1890.00
2026-09-17,Spotify Subscription,299.00
2026-09-18,Wildberries Purchase,3200.00
2026-09-19,Gas Station Lukoil,2800.00
2026-09-20,Magnit Supermarket,950.50
2026-09-21,Restaurant Bar Georgia,1900.00
2026-09-22,Pyaterochka Moscow,1340.00
2026-09-22,Uber Trip,390.00
2026-09-23,Pharmacy Apteka,450.00
2026-09-24,Netflix Subscription,599.00
2026-09-25,Cafe Central,1100.00
2026-09-26,Magnit Supermarket,780.00
2026-09-27,Yandex Taxi,350.00
2026-09-28,Ozon Purchase,2100.00
2026-09-29,Pyaterochka Moscow,1560.00
2026-09-30,Gas Station Lukoil,3100.00
